v8-version,6,0,287,53,0
shared-library,"/usr/local/bin/node",0x00400000,0x02128000,0
shared-library,"/usr/lib64/libc-2.17.so",0x7f0eabc18000,0x7f0eabdce000,0
shared-library,"/usr/lib64/libpthread-2.17.so",0x7f0eabfd9000,0x7f0eabff0000,0
shared-library,"/usr/lib64/libgcc_s-4.8.5-20150702.so.1",0x7f0eac1f5000,0x7f0eac20a000,0
shared-library,"/usr/lib64/libm-2.17.so",0x7f0eac40b000,0x7f0eac50b000,0
shared-library,"/usr/lib64/libstdc++.so.6.0.19",0x7f0eac70d000,0x7f0eac7f6000,0
shared-library,"/usr/lib64/librt-2.17.so",0x7f0eaca16000,0x7f0eaca1d000,0
shared-library,"/usr/lib64/libdl-2.17.so",0x7f0eacc1e000,0x7f0eacc20000,0
shared-library,"/usr/lib64/ld-2.17.so",0x7f0eace22000,0x7f0eace42000,0
shared-library,"[vdso]",0x7ffe418a7000,0x7ffe418a9000,0
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000,0
profiler,"begin",1000
tick,0x7f0eabfe679b,35417,0,(nil),4
tick,0xfac266,45725,0,(nil),1
tick,0x7f0eabd6783e,56261,0,(nil),4
code-creation,Stub,3,58783,0xe076b104000,374,"JSEntryStub"
code-creation,Stub,3,58822,0xe076b104180,374,"JSEntryStub"
code-creation,Builtin,5,58886,0xe076b104300,166,"EmptyFunction"
code-creation,Stub,3,58891,0xe076b1043c0,414,"CEntryStub"
code-creation,Builtin,5,58893,0xe076b104560,171,"ConstructedNonConstructable"
code-creation,Stub,3,58918,0xe076b104620,414,"CEntryStub"
code-creation,Builtin,5,58920,0xe076b1047c0,643,"CompileLazy"
code-creation,Stub,3,58945,0xe076b104a60,1390,"RecordWriteStub"
code-creation,Stub,3,58947,0xe076b104fe0,200,"StoreBufferOverflowStub"
code-creation,Stub,3,58950,0xe076b1050c0,1418,"RecordWriteStub"
code-creation,Builtin,5,58952,0xe076b105660,364,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,58954,0xe076b1057e0,1117,"FastNewObject"
code-creation,Builtin,5,58956,0xe076b105c40,359,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,58958,0xe076b105dc0,2302,"RecordWriteStub"
code-creation,Stub,3,58959,0xe076b1066c0,420,"StoreBufferOverflowStub"
code-creation,Stub,17,58961,0xe076b106880,173,"BinaryOpICStub"
code-creation,Stub,3,58963,0xe076b106940,407,"NumberToStringStub"
code-creation,Handler,4,58965,0xe076b106ae0,288,"An IC handler from the snapshot"
code-creation,Stub,17,58966,0xe076b106c00,455,"BinaryOpICStub"
code-creation,Stub,3,58968,0xe076b106de0,597,"CEntryStub"
code-creation,Stub,3,58970,0xe076b107040,2327,"RecordWriteStub"
code-creation,Stub,3,58972,0xe076b107960,2286,"RecordWriteStub"
code-creation,Stub,17,58973,0xe076b108260,173,"BinaryOpICStub"
code-creation,Stub,3,58975,0xe076b108320,2301,"RecordWriteStub"
code-creation,Stub,3,58976,0xe076b108c20,1034,"RecordWriteStub"
code-creation,Stub,3,58978,0xe076b109040,623,"StringAddStub"
code-creation,Stub,3,58980,0xe076b1092c0,1820,"StringAddStub"
code-creation,Builtin,5,58982,0xe076b1099e0,330,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,58983,0xe076b109b40,1805,"GetPropertyStub"
code-creation,Builtin,5,58985,0xe076b10a260,270,"Call_ReceiverIsAny"
code-creation,Builtin,5,59010,0xe076b10a380,416,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,59012,0xe076b10a520,491,"ToObject"
code-creation,Stub,3,59038,0xe076b10a720,2282,"RecordWriteStub"
code-creation,Builtin,5,59040,0xe076b10b020,281,"CallBoundFunction"
code-creation,Builtin,5,59042,0xe076b10b140,391,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,59044,0xe076b10b2e0,270,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,59045,0xe076b10b400,396,"OrdinaryToPrimitive_Number"
code-creation,Stub,17,59047,0xe076b10b5a0,228,"BinaryOpICStub"
code-creation,Handler,4,59049,0xe076b10b6a0,812,"An IC handler from the snapshot"
code-creation,Stub,3,59051,0xe076b10b9e0,2324,"RecordWriteStub"
code-creation,Stub,3,59052,0xe076b10c300,2274,"RecordWriteStub"
code-creation,Stub,17,59054,0xe076b10cc00,423,"BinaryOpICStub"
code-creation,Stub,3,59056,0xe076b10cdc0,2328,"RecordWriteStub"
code-creation,Stub,3,59057,0xe076b10d6e0,1423,"RecordWriteStub"
code-creation,Stub,3,59059,0xe076b10dc80,2285,"RecordWriteStub"
code-creation,Stub,3,59061,0xe076b10e580,2304,"RecordWriteStub"
code-creation,Stub,17,59062,0xe076b10ee80,304,"BinaryOpICStub"
code-creation,Stub,3,59114,0xe076b10efc0,2324,"RecordWriteStub"
code-creation,Stub,17,59117,0xe076b10f8e0,173,"BinaryOpICStub"
code-creation,Stub,17,59118,0xe076b10f9a0,228,"BinaryOpICStub"
code-creation,Stub,17,59120,0xe076b10faa0,248,"BinaryOpICStub"
code-creation,Stub,3,59122,0xe076b10fba0,1012,"RecordWriteStub"
code-creation,Stub,17,59123,0xe076b10ffa0,455,"BinaryOpICStub"
code-creation,Stub,17,59125,0xe076b110180,304,"BinaryOpICStub"
code-creation,Stub,17,59127,0xe076b1102c0,228,"BinaryOpICStub"
